user_id,visit_id,date,transactions,revenue,source,source_type
1253103077765832819,1489356106,20170312,1,19.99,(direct),Direct
7545575276027340424,1489367317,20170312,1,1.99,(direct),Direct
4386291735542740499,1489510492,20170314,1,479.7,(direct),Direct
419161784882208907,1489520913,20170314,1,178.97,(direct),Direct
5376789348329922764,1489531625,20170314,1,15.99,(direct),Direct
2402527199731150932,1489482702,20170314,1,89.4,(direct),Direct
2447827715810849371,1473797164,20160913,1,1089.14,(direct),Direct
3564256947651906511,1473787907,20160913,1,97.27,(direct),Direct
5954999562906219668,1473792779,20160913,1,171.61,(direct),Direct
2287637838474850444,1473815616,20160913,1,320.2,(direct),Direct
1070774421633587976,1473804398,20160913,5,1509.75,(direct),Direct
253454431071066526,1491897099,20170411,1,33.98,(direct),Direct
9585994831948642933,1491947863,20170411,1,374.0,(direct),Direct
0213071560453106423,1480533329,20161130,1,27.18,(direct),Direct
8388599810336818038,1480536898,20161130,1,16.99,(direct),Direct
6843021103780631500,1480560169,20161130,1,47.98,(direct),Direct
4808974885561715322,1480545761,20161130,1,79.8,(direct),Direct
3544319698789912473,1480524162,20161130,1,44.79,(direct),Direct
2503504680943602888,1480522262,20161130,1,39.98,(direct),Direct
0733219058385493693,1480565270,20161130,1,24.99,(direct),Direct
9850419624481065692,1480552340,20161130,1,55.99,(direct),Direct
7639125894732167820,1480556680,20161130,1,139.18,(direct),Direct
294715325435275737,1480522256,20161130,1,374.85,(direct),Direct
9974232250427988367,1480538922,20161130,1,1095.5,(direct),Direct
4866601788347310264,1480571493,20161130,1,41.98,(direct),Direct
3770077969238052019,1480521166,20161130,1,16.99,(direct),Direct
7965265156545901045,1480524350,20161130,1,4847.6,(direct),Direct
3282526834147517212,1480523228,20161130,1,359.6,(direct),Direct
4984366501121503466,1480527609,20161130,1,697.0,(direct),Direct
1467141040071374986,1480537007,20161130,1,31.96,(direct),Direct
7756103894574714837,1480563847,20161130,1,1295.0,(direct),Direct
7794703468039668930,1480547299,20161130,1,28.47,(direct),Direct
3705098385635161480,1480534638,20161130,1,4.77,(direct),Direct
1292918695745531394,1470928235,20160811,1,24.97,(direct),Direct
8653846523706419375,1470950405,20160811,1,51.53,(direct),Direct
6101482146991214860,1470947658,20160811,1,10.37,(direct),Direct
8488955366649910156,1470931962,20160811,1,17.48,(direct),Direct
3290482216407456011,1470977731,20160811,1,59.94,(direct),Direct
4339455188225542344,1494260048,20170508,1,33.59,(direct),Direct
6192730343832686295,1494245750,20170508,1,4.99,(direct),Direct
6192730343832686295,1494265765,20170508,1,52.49,(direct),Direct
3189343375435216997,1494263464,20170508,1,33.59,(direct),Direct
4894913572164934731,1494246775,20170508,1,33.59,(direct),Direct
1244801370532831083,1494250753,20170508,1,35.98,(direct),Direct
7949830908055384624,1494271612,20170508,1,240.77,(direct),Direct
9469314136392123821,1494263557,20170508,1,67.18,(direct),Direct
0843788975236519934,1494263767,20170508,1,192.36,(direct),Direct
4049931840976625289,1494256071,20170508,1,33.59,(direct),Direct
6192730343832686295,1494261062,20170508,1,13.59,(direct),Direct
7311242886083854158,1494253455,20170508,1,526.9,(direct),Direct
7651728310132014868,1471225058,20160814,1,25.1,(direct),Direct
4422460864147269736,1471213787,20160814,2,1113.8,(direct),Direct
963545935326060098,1481482095,20161211,1,19.99,(direct),Direct
2706500429954403422,1481508973,20161211,1,39.99,(direct),Direct
9566536237552821183,1481481564,20161211,1,18.99,(direct),Direct
5627918840858473196,1481485052,20161211,1,104.98,(direct),Direct
590094729131157044,1481510316,20161211,1,34.99,(direct),Direct
9234156111722725905,1481483944,20161211,1,42.94,(direct),Direct
903821245365156924,1481502380,20161211,1,56.96,(direct),Direct
2212898614677882197,1470742746,20160809,1,201.68,(direct),Direct
6438773915538733905,1470765746,20160809,1,25.01,(direct),Direct
4422460864147269736,1470760752,20160809,1,846.92,(direct),Direct
3424367831137944734,1470800036,20160809,1,33.18,(direct),Direct
9363688388068627633,1470750725,20160809,1,63.19,(direct),Direct
370963443633670703,1470751368,20160809,1,281.25,(direct),Direct
485451635785646273,1470803588,20160809,1,60.45,(direct),Direct
6976087133861419230,1486322641,20170205,1,55.99,(direct),Direct
0913559547538948059,1486689343,20170209,1,24.99,(direct),Direct
8539433516671325668,1486651284,20170209,1,2870.0,(direct),Direct
7338051264625149881,1486651923,20170209,1,20.48,(direct),Direct
8730049851613891578,1486659827,20170209,1,35.91,(direct),Direct
9805083893536695604,1478027209,20161101,1,71.85,(direct),Direct
9089132392240687728,1478013433,20161101,1,679.1,(direct),Direct
7284466025557220497,1478027982,20161101,1,935.63,(direct),Direct
4329830409734500602,1478027667,20161101,1,31.98,(direct),Direct
9751902738681438477,1495900868,20170527,1,23.94,(direct),Direct
8889391457640720040,1495938612,20170527,1,107.88,(direct),Direct
7947262115800453109,1495946349,20170527,1,68.74,(direct),Direct
1070119518621634705,1495911032,20170527,1,21.48,(direct),Direct
4031993507382416569,1493674745,20170501,1,67.18,(direct),Direct
8013293722895490429,1493647067,20170501,1,33.59,(direct),Direct
1749853719127085935,1493648739,20170501,1,23.99,(direct),Direct
1511861170011403483,1493687757,20170501,1,8.99,(direct),Direct
0783843790747551730,1493660236,20170501,1,33.59,(direct),Direct
3234804517559841754,1493672634,20170501,1,33.59,(direct),Direct
2691780862090038185,1493645645,20170501,1,100.77,(direct),Direct
4531006492297832379,1493655111,20170501,1,33.59,(direct),Direct
1516347018012240739,1493651682,20170501,1,33.59,(direct),Direct
84372863075461291,1493651586,20170501,1,77.81,(direct),Direct
602050736534015192,1493648821,20170501,1,33.59,(direct),Direct
5713958052491086700,1493647016,20170501,1,33.59,(direct),Direct
7321764593218311455,1493675001,20170501,1,33.59,(direct),Direct
0007933257389091624,1493664333,20170501,1,33.59,(direct),Direct
0316167355630094350,1493652561,20170501,1,134.36,(direct),Direct
4590648138044772597,1493682678,20170501,1,33.59,(direct),Direct
1845526144888947016,1493646617,20170501,1,33.59,(direct),Direct
